,0
0,0
1,2
2,46
3,29
4,23
5,17
6,71
7,30
8,6
9,28
10,42
11,62
12,69
13,8
14,10
15,95
16,18
17,22
18,13
19,97
20,61
21,11
22,49
23,34
24,56
25,19
26,36
27,20
28,1
29,87
30,73
31,31
32,45
33,37
34,81
35,4
36,12
37,54
38,98
39,55
40,43
41,68
42,47
43,94
44,76
45,85
46,35
47,77
48,99
49,5
50,60
51,58
52,48
53,89
54,70
55,86
56,16
57,9
58,14
59,91
60,24
61,32
62,41
63,39
64,80
65,52
66,93
67,25
68,90
69,59
70,65
71,63
72,44
73,66
74,64
75,15
76,79
77,72
78,3
79,83
80,7
81,92
82,82
83,75
84,27
85,57
86,40
87,53
88,96
89,21
90,51
91,84
92,88
93,67
94,78
95,33
96,26
97,50
98,38
99,74
