,0
0,0
1,78
2,22
3,73
4,20
5,45
6,21
7,84
8,5
9,92
10,18
11,19
12,37
13,71
14,51
15,79
16,81
17,14
18,52
19,6
20,44
21,10
22,2
23,30
24,32
25,91
26,82
27,69
28,11
29,15
30,13
31,97
32,27
33,29
34,1
35,16
36,77
37,67
38,35
39,23
40,66
41,38
42,42
43,76
44,26
45,63
46,31
47,24
48,70
49,7
50,57
51,96
52,88
53,58
54,95
55,47
56,86
57,89
58,17
59,25
60,72
61,33
62,98
63,59
64,83
65,39
66,93
67,75
68,40
69,36
70,3
71,41
72,60
73,12
74,9
75,28
76,53
77,94
78,46
79,64
80,55
81,61
82,56
83,80
84,68
85,34
86,90
87,8
88,87
89,48
90,85
91,54
92,49
93,50
94,43
95,99
96,74
97,62
98,4
99,65
