,0
0,0
1,22
2,61
3,56
4,99
5,74
6,21
7,49
8,50
9,85
10,54
11,34
12,80
13,43
14,33
15,62
16,64
17,55
18,13
19,5
20,18
21,92
22,4
23,19
24,37
25,71
26,51
27,79
28,81
29,35
30,23
31,14
32,52
33,6
34,44
35,10
36,32
37,2
38,30
39,63
40,76
41,12
42,60
43,41
44,3
45,36
46,25
47,17
48,89
49,47
50,75
51,86
52,39
53,93
54,40
55,95
56,58
57,88
58,9
59,28
60,53
61,46
62,68
63,87
64,73
65,20
66,29
67,27
68,97
69,16
70,15
71,11
72,69
73,82
74,94
75,42
76,38
77,66
78,26
79,31
80,24
81,70
82,96
83,7
84,57
85,91
86,77
87,67
88,1
89,84
90,45
91,72
92,83
93,98
94,59
95,48
96,8
97,90
98,78
99,65
